 Date,Mine,No.of fatalities,Gender,Occupation,Accident Location,Incident Description
5/26/2000,Oaky Creek No. 1 Coal Mine,1,Male,Miner,Underground,Fatally injured by a roof fall.
3/15/2000,Jellinbah Open-cut Coal Mine,1,Male,Fitter,Surface ,Fatally injured by falling truck tray body (approximately 20 tonnes weight) that was being repaired.  The tray fell on him whilst he was attempting to insert a pin into the under side of the tray body to attach a support structure required to facilitate the movement of the tray whilst it was detached from the truck.
5/5/1997,Blackwater Open-cut Coal Mine,1,Male,Diesel Fitter,Surface ,Fatally injured by crush injuries in the cabin of a Toyota Land Cruiser after the Land Cruiser was run over by a Water Truck.
3/25/1997,New Hill Colliery,1,Male,Deputy,Underground,Fatally injured after receiving crush injuries in a rib fall which pinned him against the continuous miner.
11/5/1996,Laleham Colliery,1,Male,Miner,Underground ,Fatally injured whilst operating a continuous miner outside the confines of the machine.  Caught between the ribside and the continuous miner.
9/19/1996,Oaky Creek No. 1 Colliery,1,Male,Miner,Surface ,Fatally injured by drowning when the MPV transport vehicle he was driving ran off the surface area into a surface water lagoon.
8/7/1994,Moura No. 2 Underground Coal Mine,11,Male,,Underground ,11 men were fatally injured due to an underground explosion attributed to spontaneous combustion behind a recently sealed section of the mine.
12/31/1993,Moura Open-cut Coal Mine,2,Male,,Surface,Fatally injured when an unmanned Caterpillar Water Truck collided with a Service Truck pushing it sideways into a Caterpillar End Loader.  The two men were in the space between the service truck and the end loader when the incident occurred.
12/15/1992,Gregory Open-cut Coal Mine,1,Male,Contractor,Surface ,Fatally injured when he fell from the top of a D11 dozer whilst it was being assembled.
3/19/1992,Collinsville No. 2 Colliery,1,Male,Training Miner Driver,Underground ,Fatally injured whilst training on a miner remote control when a nearby rib fell into the mesh.  Took fright and ran across the cutter drums.  He was caught and dragged into the cutter drums.
12/19/1990,Goonyella Open-cut Coal Mine,1,Male,,Surface,"Fatally injured when attempting to clear a ROM feeder using water, when the coal fluidised, burying the victim."
11/19/1990,Oakleigh No. 3 Colliery,1,Male,Continuous Miner Driver,Underground,Fatally injured in a roof collapse during pillar extraction when several large slabs of sandstone roof pinned him against the continuous miner.
9/19/1990,Newlands Open-cut Coal Mine,1,Male,Contractor,Surface,Fatally injured after receiving serious burns as the result of a gas explosion from a build up of LPG in the revolving frame of a dragline during gouging and welding operations.
3/1/1990,German Creek Southern Colliery,1,Male,Plant Operator,Underground,"Fatally injured when a front end loader he was operating near a mine portal lost control and crashed into a stone roof pushing the cab forward, crushing the operator against the steering wheel and control panel."
9/2/1989,Norwich Park Open-cut Coal Mine,1,Male,Assistant Dragline Operator,Surface,Fatally injured in a collision between a Caterpillar D9 Bulldozer and a Toyota Landcruiser that he had driven and stopped in the direct line approach of the bulldozer.
8/18/1988,Collinsville No. 2 Underground Coal Mine,1,Male,Deputy,Underground,Fatally injured when he was buried under a fall of rib-coal brought down by a major roof collapse.
7/23/1988,Oaky Creek Open-cut Coal Mine,1,Male,Miner,Surface,"Fatally injured when a service truck which he was operating ran backwards, crushing him between it and a D9L Caterpillar Bulldozer which was being serviced."
4/20/1988,Moura No. 2 Underground Coal Mine,1,Male,,Underground,Fatally injured whilst he was tending to the continuous miner cable at the rear of the machine when a large section of rib coal fell onto him.
11/19/1986,Goonyella Open-cut Coal Mine,1,Male,Contractor,Surface,Fatally injured when his rear dump truck rolled over the edge of a dumping site.
7/16/1986,Moura No. 4 Underground Coal Mine,12,Male,,Underground,12 men were fatally injured in an underground explosion attributed to an ignition caused by a flame safety lamp.
5/9/1986,Peak Downs Open-cut Coal Mine,1,Male,Contractor,Surface,Fatally injured whilst refitting a drag rope sheave assembly on a dragline when the lifting gear failed causing the crane to trap him against the sheave assembly.
10/2/1985,Collinsville Open-cut Coal Mine,1,Male,,Surface,Fatally injured when his truck accidentally collided with a parked rear dump truck.
6/25/1985,Moura No. 4 Underground Coal Mine,1,Male,,Underground ,"Fatally injured when a section of a seven metre high rib fell on him during the removal of bottoms coal in the 4 South Section of the mine whilst he was driving a shuttle car, partially burying him."
3/7/1984,New Whitwood No. 3 Open-cut Coal Mine,1,Male,,Surface,Fatally injured when a Caterpillar 777 Rear Dump Truck plunged over a bank and fell approximately 21 metres to the floor of the open-cut.
3/12/1982,Laleham No. 1 Colliery,3,Male,,Underground,Fatally injured by a roof fall caused by lateral movement when their continuous miner was engaged in ‘lifting off’ a fender in an extraction panel.
9/30/1980,South Blackwater Mine,1,Male,Fitter - Welder,Surface ,Fatally injured (electrocution) whilst he was engaged in welding in the coal preparation plant repairing a screen deck in a confined space.
